,Instance,Gap_LOW,Gap_MEDIUM,Gap_HIGH
0,p4.2.a.txt,14.76,18.96,27.83
1,p4.2.b.txt,6.34,12.85,20.28
2,p4.2.c.txt,-3.37,1.31,10.87
3,p4.2.d.txt,6.63,9.82,14.01
4,p4.2.e.txt,2.43,6.62,15.05
5,p4.2.f.txt,2.72,8.67,16.92
6,p4.2.g.txt,6.4,13.41,19.96
7,p4.2.h.txt,6.12,11.49,18.19
8,p4.2.i.txt,4.06,11.93,17.93
9,p4.2.j.txt,4.21,10.51,15.71
10,p4.2.k.txt,3.9,8.9,14.26
11,p4.2.l.txt,4.01,8.52,15.36
12,p4.2.m.txt,2.16,6.78,12.53
13,p4.2.n.txt,7.26,13.74,16.87
14,p4.2.o.txt,5.53,10.99,13.78
15,p4.2.p.txt,5.88,9.66,13.86
16,p4.2.q.txt,10.03,14.38,19.64
17,p4.2.r.txt,9.11,14.74,19.27
18,p4.2.s.txt,8.72,14.01,18.1
19,p4.2.t.txt,10.24,14.86,20.47
20,p4.3.a.txt,,,
21,p4.3.b.txt,66.26,68.04,70.61
22,p4.3.c.txt,22.02,24.52,30.85
23,p4.3.d.txt,9.99,17.95,20.87
24,p4.3.e.txt,9.72,12.53,20.26
25,p4.3.f.txt,1.82,8.39,16.07
26,p4.3.g.txt,11.24,17.21,23.22
27,p4.3.h.txt,8.74,14.06,19.5
28,p4.3.i.txt,9.44,15.0,19.97
29,p4.3.j.txt,7.98,14.31,19.28
30,p4.3.k.txt,,,
31,p5.2.a.txt,,,
32,p5.2.b.txt,14.86,21.4,24.56
33,p5.2.c.txt,8.76,16.39,24.18
34,p5.2.d.txt,18.83,22.04,30.37
35,p5.2.e.txt,-18.76,-12.82,-5.65
36,p5.2.f.txt,-4.9,2.14,9.23
37,p5.2.g.txt,-1.43,5.17,9.68
38,p5.2.h.txt,1.64,8.23,13.61
39,p5.2.i.txt,3.95,9.7,16.22
40,p5.2.j.txt,1.16,11.66,17.66
